Programme Code,Total Placed,Male,Female,Year
1253496,43,30,13,2021
1253561,30,12,18,2021
1253594,19,10,9,2021
1253598,86,56,30,2021
1253599,41,29,12,2021
1253600,26,16,10,2021
1253616,41,36,5,2021
1253617,39,32,7,2021
1253621,88,33,55,2021
1253646,127,72,55,2021
1253656,166,77,89,2021
1253697,40,28,12,2021
1253718,40,37,3,2021
1253101,281,126,155,2022
1253107,40,27,13,2022
1253112,30,20,10,2022
1253115,39,29,10,2022
1253120,15,10,5,2022
1253123,19,11,8,2022
1253128,15,12,3,2022
1253131,53,39,14,2022
1253132,60,29,2021,2022
1253134,60,37,23,2022
1253135,702,327,375,2022
1253137,205,128,77,2022
1253144,114,41,73,2022
1253150,58,40,18,2022
1253151,115,72,43,2022
1253157,82,36,46,2022
1253164,48,38,10,2022
1253171,82,28,54,2022
1253187,21,10,11,2022
1253188,42,22,20,2022
1253189,145,63,82,2022
1253194,20,9,11,2022
1253201,95,40,55,2022
1253215,12,7,5,2022
1253222,79,22,57,2022
1253229,13,8,5,2022
1253234,69,29,40,2022
1253237,117,37,80,2022
1253260,36,19,17,2022
1253292,103,70,33,2022
1253293,31,23,8,2022
1253299,6,3,3,2022
1253324,87,33,54,2022
1253326,58,22,36,2022
1253327,101,53,48,2022
1253331,8,7,1,2022
1253334,110,70,40,2022
1253337,94,28,66,2022
1253415,105,74,31,2022
1253418,41,23,18,2022
1253428,10,10,0,2022
1253435,20,9,11,2022
1253450,77,21,56,2022
1253490,83,53,30,2022
1253493,8,1,7,2022
1253494,83,37,46,2022
1253495,30,8,22,2022
1253496,33,14,19,2022
1253561,30,13,17,2022
1253594,9,5,4,2022
1253598,122,76,46,2022
1253599,40,27,13,2022
1253600,3,2,1,2022
1253616,40,29,11,2022
1253617,39,32,7,2022
1253621,91,40,51,2022
1253646,49,28,21,2022
1253656,143,56,87,2022
1253697,40,27,13,2022
1253718,35,32,3,2022
